;"Abrantes";"Beja";"Braganca";"Castelo Branco";"Coimbra";"Elvas";"Evora";"Faro";"Fratel (estacao submersa)";"Funchal";"Junqueira";"Juromenha (estacao submersa)";"Lisboa";"Meimoa";"Penhas Douradas";"Pocinho (estacao submersa)";"Ponta Delgada";"Portalegre";"Porto";"Sines"
"01/08/2023 00:00";32.5;21.6;31.9;107.0;68.3;85.4;41.2;26.3;7.6;41.3;74.8;29.1;62.8;;140.0;22.9;88.1;98.5;130.0;40.9
"01/08/2023 01:00";33.0;22.0;31.1;108.0;68.0;86.5;40.9;26.1;7.6;40.9;75.2;29.1;62.3;;142.0;22.7;88.8;99.3;131.0;40.6
"01/08/2023 02:00";32.8;21.9;31.4;108.0;68.7;85.5;40.6;26.5;7.7;41.7;76.0;29.0;63.2;;141.0;22.8;88.9;99.0;131.0;40.7
"01/08/2023 03:00";32.9;22.0;31.3;107.0;69.0;85.5;41.2;26.2;7.6;41.8;76.3;28.9;62.6;;141.0;22.8;88.4;99.0;131.0;40.7
"01/08/2023 04:00";33.3;22.0;32.7;108.0;68.7;85.6;41.0;26.6;7.7;41.6;77.5;28.9;62.9;;141.0;22.9;88.7;99.0;131.0;40.9
"01/08/2023 05:00";33.6;22.0;32.8;109.0;68.6;86.9;40.8;26.6;7.7;41.3;78.6;28.8;63.0;;141.0;23.0;89.2;98.4;131.0;40.6
"01/08/2023 06:00";33.6;22.0;32.0;109.0;68.8;86.4;40.7;26.9;7.7;41.3;82.1;28.8;63.0;;142.0;22.9;89.7;99.8;131.0;40.6
"01/08/2023 07:00";33.8;21.9;33.8;111.0;69.3;86.7;41.1;26.4;7.7;41.4;79.5;28.7;62.9;;142.0;22.8;89.3;99.6;133.0;41.1
"01/08/2023 08:00";34.2;22.7;32.2;111.0;69.7;87.3;41.9;26.3;7.7;41.1;76.6;28.8;63.1;;141.0;22.8;88.6;100.0;133.0;40.7
"01/08/2023 09:00";35.0;22.2;30.9;109.0;69.5;87.4;41.3;26.5;7.7;41.0;74.5;28.7;62.7;;142.0;22.8;88.0;101.0;132.0;40.8
"01/08/2023 10:00";34.8;22.3;30.4;109.0;68.7;88.0;41.4;27.1;7.7;40.3;73.7;28.8;62.9;;144.0;22.7;88.0;101.0;132.0;41.2
"01/08/2023 11:00";33.5;22.5;30.4;109.0;70.3;87.8;41.6;26.7;7.6;40.6;74.7;28.9;62.9;;145.0;22.8;87.7;102.0;132.0;41.2
"01/08/2023 12:00";33.8;22.6;31.0;107.0;68.6;88.3;41.9;26.5;7.7;40.7;76.5;29.0;63.3;;147.0;22.7;87.8;101.0;130.0;40.8
"01/08/2023 13:00";33.4;21.7;30.8;108.0;67.9;88.2;42.1;26.4;7.7;40.9;76.0;28.9;62.7;;145.0;22.6;87.4;100.0;131.0;40.4
"01/08/2023 14:00";33.1;21.9;30.6;110.0;68.8;87.9;41.6;26.4;7.7;40.4;76.1;28.9;62.8;;144.0;22.5;86.4;99.2;131.0;40.7
"01/08/2023 15:00";33.2;21.9;30.7;108.0;67.8;87.1;41.1;26.5;7.6;41.1;76.4;28.8;62.8;;143.0;22.7;86.3;99.6;131.0;41.4
"01/08/2023 16:00";33.3;21.9;31.3;108.0;67.6;86.4;41.3;26.6;7.6;40.7;76.0;28.8;63.2;;143.0;22.5;89.4;98.6;132.0;40.4
"01/08/2023 17:00";33.1;21.6;32.2;107.0;68.7;86.4;40.8;26.2;7.6;40.9;75.2;28.6;62.9;;143.0;22.7;91.8;98.6;131.0;40.4
"01/08/2023 18:00";32.9;21.8;32.8;107.0;68.8;86.4;41.1;26.5;7.5;40.3;75.1;28.7;62.8;;142.0;22.9;92.4;98.1;132.0;40.6
"01/08/2023 19:00";33.1;22.0;31.8;106.0;68.0;85.4;40.9;26.6;7.7;40.9;74.9;28.7;62.5;;141.0;22.8;89.7;97.8;131.0;40.8
"01/08/2023 20:00";32.8;21.7;31.7;106.0;68.5;85.6;41.4;26.7;7.6;40.6;74.3;28.9;62.9;;141.0;22.8;89.9;99.0;131.0;40.2
"01/08/2023 21:00";33.0;21.9;31.4;106.0;68.2;85.7;40.5;26.2;7.7;41.1;75.0;28.7;63.2;;141.0;22.7;89.7;98.9;132.0;40.6
"01/08/2023 22:00";33.1;22.5;31.3;107.0;68.1;85.8;40.7;26.6;7.7;41.2;75.8;28.9;63.2;;141.0;22.9;89.2;98.6;131.0;40.9
"01/08/2023 23:00";32.7;22.2;30.9;107.0;68.4;86.4;41.0;26.6;7.6;40.3;76.1;28.7;62.8;;141.0;23.0;89.3;98.3;131.0;40.9
"02/08/2023 00:00";32.8;22.0;31.2;107.0;67.9;86.0;40.8;26.7;7.7;41.2;76.8;29.0;63.5;;141.0;23.0;89.8;99.3;132.0;41.0
"02/08/2023 01:00";32.9;22.3;31.6;106.0;68.2;85.7;40.7;26.8;7.6;40.9;78.6;29.1;62.4;;142.0;23.1;90.1;98.8;132.0;41.1
"02/08/2023 02:00";33.4;22.2;31.0;107.0;68.6;85.0;41.1;26.5;7.6;41.4;78.1;29.0;62.8;;141.0;22.9;88.9;98.3;131.0;41.1
"02/08/2023 03:00";32.9;22.0;31.7;107.0;68.8;85.8;40.8;26.5;7.6;41.2;80.7;29.2;63.2;;141.0;22.8;89.3;98.5;132.0;40.5
"02/08/2023 04:00";33.3;22.3;31.4;107.0;68.5;85.8;40.8;26.7;7.7;41.1;82.8;29.2;62.8;;141.0;22.9;88.4;98.6;133.0;41.1
"02/08/2023 05:00";33.5;22.2;30.9;108.0;68.1;85.9;40.8;27.3;7.6;41.0;82.9;29.2;63.2;;141.0;22.8;88.6;99.1;135.0;41.0
"02/08/2023 06:00";33.3;22.6;30.6;108.0;68.7;85.8;40.9;26.6;7.6;41.3;81.3;29.2;62.6;;141.0;22.8;87.8;99.2;135.0;40.7
"02/08/2023 07:00";33.5;22.7;30.3;109.0;69.2;85.6;40.7;26.6;7.7;41.3;77.4;29.2;63.3;;143.0;22.7;88.4;98.9;134.0;40.9
"02/08/2023 08:00";33.3;21.7;30.9;107.0;69.5;86.6;40.9;26.5;7.6;40.4;76.5;29.1;62.6;;142.0;22.9;86.4;100.0;133.0;41.1
"02/08/2023 09:00";33.0;21.8;31.3;105.0;69.4;86.2;41.1;26.7;7.7;40.8;76.4;29.0;62.3;;144.0;22.7;85.6;98.8;132.0;41.2
"02/08/2023 10:00";33.3;21.7;31.9;105.0;69.2;87.4;41.1;26.3;7.6;40.7;74.4;29.0;62.9;88.6;143.0;22.8;85.3;98.9;131.0;41.3
"02/08/2023 11:00";33.0;21.6;32.9;106.0;69.4;87.0;40.6;26.2;7.6;41.1;73.5;29.2;62.6;88.0;142.0;22.7;92.1;98.2;130.0;41.0
"02/08/2023 12:00";33.2;21.8;33.3;105.0;68.2;85.7;41.0;26.5;7.6;41.1;73.3;29.3;62.5;87.6;142.0;22.8;90.3;97.9;129.0;40.7
"02/08/2023 13:00";33.0;21.9;32.3;105.0;68.3;86.7;40.7;26.5;7.6;40.8;73.3;29.2;63.0;87.4;141.0;22.6;87.9;98.4;127.0;40.7
"02/08/2023 14:00";32.6;21.6;33.1;105.0;67.7;85.9;41.0;26.8;7.6;41.2;72.6;29.1;62.9;87.4;141.0;22.7;88.9;97.7;127.0;40.3
"02/08/2023 15:00";32.7;22.0;35.4;105.0;68.1;85.2;40.8;26.3;7.6;40.7;73.2;29.2;62.2;86.0;143.0;22.8;90.1;97.5;128.0;40.6
"02/08/2023 16:00";32.5;21.5;31.2;105.0;67.9;84.9;40.6;26.5;7.6;41.0;73.4;29.2;62.5;86.1;144.0;22.8;88.3;98.5;127.0;41.0
"02/08/2023 17:00";32.6;21.8;30.6;105.0;67.6;84.8;41.0;26.1;7.7;40.7;73.7;29.3;62.8;85.4;143.0;22.7;87.5;97.4;127.0;40.5
"02/08/2023 18:00";33.0;21.6;30.9;105.0;67.6;85.1;40.4;26.4;7.6;40.7;74.4;29.3;62.8;85.4;142.0;22.9;97.5;97.9;128.0;40.7
"02/08/2023 19:00";32.8;21.6;29.8;105.0;67.9;85.3;41.1;26.4;7.6;40.6;73.7;29.2;62.9;;142.0;22.9;92.7;97.7;127.0;40.6
"02/08/2023 20:00";33.0;21.4;30.7;105.0;67.1;85.2;40.0;26.8;7.7;40.9;74.1;29.3;62.7;;140.0;23.0;90.9;97.0;128.0;40.7
"02/08/2023 21:00";32.6;21.8;31.0;105.0;67.1;84.6;41.0;26.2;7.6;40.6;74.5;29.3;62.5;;140.0;22.9;90.2;97.4;127.0;40.6
"02/08/2023 22:00";33.1;21.7;30.5;106.0;67.4;84.6;40.6;26.2;7.6;41.2;74.3;29.2;62.9;;139.0;23.0;89.4;98.3;129.0;40.6
"02/08/2023 23:00";32.7;22.2;31.4;106.0;68.1;85.5;40.6;26.2;7.6;41.2;74.5;29.3;62.5;;139.0;22.8;88.6;98.6;129.0;41.0
"03/08/2023 00:00";32.7;22.0;30.5;107.0;67.9;85.2;40.8;26.3;7.7;40.9;74.0;29.4;62.6;;139.0;23.2;89.0;99.0;129.0;40.8
