;"Abrantes";"Beja";"Braganca";"Castelo Branco";"Coimbra";"Elvas";"Evora";"Faro";"Fratel (estacao submersa)";"Funchal";"Junqueira";"Juromenha (estacao submersa)";"Lisboa";"Meimoa";"Penhas Douradas";"Pocinho (estacao submersa)";"Ponta Delgada";"Portalegre";"Porto";"Sines"
"01/12/2023 00:00";;23.1;22.0;66.9;62.2;77.4;;26.9;7.7;40.0;;36.9;53.7;79.4;125.0;24.1;76.5;93.8;112.0;35.9
"01/12/2023 01:00";;21.6;22.2;66.8;61.7;77.6;;29.2;7.7;39.3;;37.0;52.9;74.1;125.0;23.9;76.1;92.8;112.0;35.5
"01/12/2023 02:00";;21.0;22.2;66.1;61.3;76.4;;29.1;7.7;39.6;;36.9;53.4;74.3;124.0;24.1;76.2;92.6;113.0;35.5
"01/12/2023 03:00";;20.7;22.0;66.0;62.7;76.9;;28.1;7.7;39.5;;37.0;53.6;74.3;124.0;24.0;76.2;93.0;112.0;35.0
"01/12/2023 04:00";;20.3;21.5;66.5;62.9;76.6;;25.9;7.8;39.1;;37.0;53.1;74.6;124.0;24.1;76.6;93.9;113.0;35.1
"01/12/2023 05:00";;20.8;22.3;66.4;63.1;76.4;;26.0;7.8;39.6;;37.0;53.8;72.2;125.0;24.1;76.1;95.0;114.0;35.1
"01/12/2023 06:00";;20.8;23.2;66.7;62.6;76.2;;25.0;7.8;39.6;;37.0;53.7;73.0;126.0;24.1;76.2;94.5;114.0;35.0
"01/12/2023 07:00";;20.4;23.3;66.6;62.0;77.0;;24.3;7.7;39.6;;36.9;54.0;74.2;125.0;24.2;75.9;94.9;114.0;35.0
"01/12/2023 08:00";;20.7;23.5;66.4;62.5;77.2;;23.6;7.8;39.2;;36.9;53.8;74.0;125.0;24.0;76.4;95.5;117.0;35.4
"01/12/2023 09:00";;20.0;22.7;66.8;61.5;77.1;;23.7;7.7;39.4;;36.8;53.5;73.7;126.0;23.9;76.5;95.4;120.0;35.3
"01/12/2023 10:00";32.0;20.4;22.7;67.2;61.7;77.1;34.8;23.8;7.8;39.1;73.2;37.0;53.6;72.5;126.0;24.4;76.8;95.3;115.0;35.8
"01/12/2023 11:00";31.3;20.3;22.2;66.7;62.5;76.8;34.8;23.5;7.8;39.2;73.3;36.9;54.2;72.7;126.0;24.1;77.8;95.4;112.0;35.9
"01/12/2023 12:00";30.8;21.2;22.1;66.5;62.9;76.8;35.5;24.3;7.8;39.2;72.3;36.7;53.6;72.6;127.0;24.0;77.7;95.8;111.0;35.6
"01/12/2023 13:00";34.4;20.7;21.9;66.8;61.1;77.8;36.0;23.9;7.7;39.1;73.5;36.9;56.2;73.0;127.0;24.0;79.4;96.6;112.0;35.6
"01/12/2023 14:00";32.1;20.2;21.6;67.3;60.5;76.9;34.8;24.6;7.9;39.3;69.1;36.8;55.0;78.3;129.0;24.0;80.1;96.3;112.0;35.6
"01/12/2023 15:00";30.6;21.0;21.6;66.9;60.5;77.0;34.4;23.9;7.8;39.2;67.4;37.0;54.4;75.6;128.0;24.0;79.4;96.4;112.0;35.8
"01/12/2023 16:00";30.3;20.4;22.1;66.6;61.7;77.6;35.1;23.8;7.8;38.9;67.6;36.9;54.2;73.5;128.0;23.9;78.1;95.6;113.0;35.9
"01/12/2023 17:00";29.9;20.7;21.9;67.3;61.0;77.4;34.5;24.0;7.7;39.7;67.3;36.8;53.9;73.0;127.0;24.0;78.0;95.7;111.0;35.3
"01/12/2023 18:00";29.9;20.3;22.0;67.0;60.8;77.2;34.4;23.8;7.8;39.3;67.4;36.8;53.7;73.9;127.0;24.0;77.0;95.9;112.0;35.7
"01/12/2023 19:00";29.8;20.5;22.0;67.3;61.2;77.1;34.5;23.9;7.8;39.1;67.2;37.0;54.9;73.5;127.0;24.0;77.2;96.1;111.0;35.8
"01/12/2023 20:00";29.9;20.6;21.6;67.3;61.3;77.1;34.7;24.0;7.7;39.2;;36.9;54.4;72.8;127.0;24.7;77.1;96.1;112.0;35.4
