;"Abrantes";"Beja";"Braganca";"Castelo Branco";"Coimbra";"Elvas";"Evora";"Faro";"Fratel (estacao submersa)";"Funchal";"Junqueira";"Juromenha (estacao submersa)";"Lisboa";"Meimoa";"Penhas Douradas";"Pocinho (estacao submersa)";"Ponta Delgada";"Portalegre";"Porto";"Sines"
"01/07/2023 00:00";34.9;23.6;31.5;109.0;68.6;87.1;42.4;28.6;10.9;40.9;73.2;30.2;63.5;;138.0;21.4;82.5;98.2;131.0;42.0
"01/07/2023 01:00";34.6;23.9;31.6;110.0;68.6;86.8;42.2;28.8;11.1;40.3;73.5;30.3;63.6;;137.0;21.6;82.5;97.9;131.0;42.0
"01/07/2023 02:00";34.8;24.1;32.5;110.0;69.7;88.1;42.3;28.4;11.3;40.5;74.5;30.3;62.9;;137.0;21.6;81.4;97.6;133.0;42.0
"01/07/2023 03:00";35.3;23.8;31.8;109.0;70.5;88.4;42.6;28.2;11.2;40.7;75.7;30.4;64.1;;138.0;21.5;81.2;97.5;133.0;42.1
"01/07/2023 04:00";35.3;24.0;32.5;109.0;71.5;88.5;42.8;28.2;11.2;40.6;75.2;30.3;63.9;;137.0;21.5;81.4;97.8;133.0;42.1
"01/07/2023 05:00";36.2;24.1;32.7;109.0;73.2;88.2;42.9;28.6;11.1;40.4;75.7;30.3;64.0;;137.0;21.6;81.2;97.5;135.0;42.2
"01/07/2023 06:00";36.4;24.1;32.6;109.0;73.3;89.3;43.1;28.4;11.1;40.6;75.9;30.4;64.1;;137.0;21.5;81.3;98.0;136.0;42.5
"01/07/2023 07:00";37.7;24.3;32.1;109.0;74.0;88.7;43.8;29.4;10.9;40.6;75.5;30.4;63.7;;136.0;21.5;81.0;96.7;136.0;42.5
"01/07/2023 08:00";37.7;25.2;31.5;109.0;74.2;87.8;45.1;29.0;10.8;40.6;73.1;30.4;64.1;;137.0;21.5;81.4;98.2;137.0;42.9
"01/07/2023 09:00";37.4;25.2;30.9;107.0;74.9;86.9;44.6;27.9;10.8;40.6;72.7;30.2;64.0;;138.0;21.5;81.6;98.7;134.0;42.9
"01/07/2023 10:00";37.4;24.7;30.7;106.0;75.1;86.7;44.8;27.6;10.8;40.5;72.9;30.3;64.6;87.7;139.0;21.4;83.5;98.4;135.0;42.9
"01/07/2023 11:00";36.6;24.3;30.1;106.0;76.6;86.2;43.0;26.6;11.0;40.3;72.3;30.3;64.6;86.3;141.0;21.5;82.4;98.3;134.0;42.8
"01/07/2023 12:00";35.0;23.9;29.9;105.0;74.5;85.5;42.7;26.7;11.0;40.6;72.2;30.4;65.1;85.5;141.0;21.5;83.0;97.8;133.0;42.3
"01/07/2023 13:00";36.2;24.2;30.3;105.0;73.2;85.6;42.9;26.9;11.3;40.5;72.4;30.3;65.0;84.7;141.0;21.4;83.5;98.3;132.0;42.6
"01/07/2023 14:00";39.8;23.5;30.3;105.0;72.3;85.1;42.4;26.5;11.4;40.5;72.2;30.3;64.8;84.4;140.0;21.1;83.5;97.4;132.0;42.5
"01/07/2023 15:00";40.2;23.7;30.9;106.0;70.5;85.0;42.0;27.0;11.5;40.9;72.1;30.3;64.6;84.5;139.0;21.0;84.2;97.2;132.0;42.1
"01/07/2023 16:00";39.5;23.7;30.9;105.0;69.8;85.1;42.0;27.0;11.5;40.3;72.4;30.4;64.8;84.2;139.0;21.3;84.3;97.7;131.0;42.3
"01/07/2023 17:00";38.2;23.8;30.7;106.0;68.9;85.9;41.9;27.6;11.5;40.9;71.9;30.4;64.4;84.4;138.0;21.0;83.4;97.2;131.0;42.6
"01/07/2023 18:00";37.1;23.4;30.8;105.0;69.1;85.3;42.5;28.0;11.6;40.7;73.5;30.4;64.5;84.3;138.0;21.1;82.7;97.2;132.0;42.3
"01/07/2023 19:00";36.1;24.2;30.9;106.0;68.6;85.9;44.4;27.3;11.5;40.1;73.1;30.2;64.3;85.8;140.0;21.4;83.3;97.1;132.0;42.7
"01/07/2023 20:00";35.7;24.1;31.1;107.0;68.9;86.0;44.8;27.7;11.6;40.1;73.1;30.1;63.8;85.9;140.0;21.3;83.6;97.4;131.0;42.0
"01/07/2023 21:00";35.6;24.1;31.0;108.0;68.4;86.0;43.8;28.3;11.6;40.3;72.7;30.3;63.1;86.7;141.0;21.3;82.4;96.9;132.0;41.4
"01/07/2023 22:00";36.0;24.0;31.3;108.0;68.1;86.8;43.5;28.5;11.5;40.4;72.9;30.3;64.1;;140.0;21.2;81.8;97.0;134.0;41.6
"01/07/2023 23:00";36.1;24.0;32.6;108.0;68.0;88.2;43.2;28.7;11.4;40.4;72.8;30.2;63.4;;139.0;21.1;82.2;98.3;133.0;41.6
"02/07/2023 00:00";35.6;23.8;31.8;109.0;68.7;87.5;43.2;28.6;11.5;40.4;73.4;30.3;62.9;;140.0;21.5;81.8;98.3;134.0;41.5
"02/07/2023 01:00";35.4;23.4;31.2;110.0;69.0;88.4;43.0;29.1;11.4;40.5;74.6;30.2;63.7;;138.0;21.4;81.8;98.4;135.0;42.0
"02/07/2023 02:00";35.9;23.4;31.1;111.0;68.7;89.0;42.5;29.7;11.4;40.5;75.1;30.4;63.7;;139.0;21.5;81.8;97.9;136.0;42.0
"02/07/2023 03:00";36.2;23.5;31.6;111.0;69.8;89.5;43.0;30.1;11.5;40.4;72.9;30.3;64.1;;139.0;21.6;81.6;97.6;135.0;41.4
"02/07/2023 04:00";37.3;23.6;31.2;110.0;69.6;89.2;42.7;29.0;11.3;40.6;72.2;30.4;63.7;;139.0;21.5;82.1;97.8;137.0;41.7
"02/07/2023 05:00";37.6;23.7;30.6;109.0;70.4;88.9;43.2;28.2;11.2;40.9;72.2;30.2;63.7;;138.0;21.4;81.6;97.4;137.0;41.7
"02/07/2023 06:00";38.6;24.1;30.3;109.0;71.7;89.6;43.9;27.7;11.1;40.7;71.9;30.3;63.8;;137.0;21.6;81.3;96.8;138.0;41.7
"02/07/2023 07:00";38.4;24.4;30.7;110.0;71.1;91.2;44.2;27.2;10.9;41.1;72.4;30.4;63.8;;138.0;21.5;82.7;97.2;137.0;42.5
"02/07/2023 08:00";37.8;24.2;30.6;109.0;71.3;91.6;44.8;27.0;10.8;40.4;72.0;30.3;64.5;;140.0;21.4;81.0;99.1;137.0;42.1
"02/07/2023 09:00";39.1;24.3;30.2;108.0;72.8;89.9;45.4;26.7;10.7;40.9;72.4;30.4;65.6;;140.0;21.5;81.4;101.0;136.0;42.7
"02/07/2023 10:00";38.8;24.8;30.3;107.0;74.8;89.6;44.8;26.4;10.6;41.0;72.9;30.3;64.6;89.1;140.0;21.6;85.2;100.0;137.0;42.3
"02/07/2023 11:00";37.6;24.4;30.2;107.0;73.1;87.9;44.4;26.8;10.7;40.2;72.0;30.4;65.0;86.7;142.0;21.6;83.0;99.5;137.0;42.7
"02/07/2023 12:00";36.7;24.2;30.4;106.0;71.8;87.7;43.6;26.5;10.7;40.2;71.9;30.4;65.2;85.4;140.0;21.3;85.2;100.0;136.0;42.9
