;"Abrantes";"Beja";"Braganca";"Castelo Branco";"Coimbra";"Elvas";"Evora";"Faro";"Fratel (estacao submersa)";"Funchal";"Junqueira";"Juromenha (estacao submersa)";"Lisboa";"Meimoa";"Penhas Douradas";"Pocinho (estacao submersa)";"Ponta Delgada";"Portalegre";"Porto";"Sines"
"01/06/2023 00:00";32.9;22.2;27.9;99.9;64.4;83.3;40.0;26.5;8.9;39.5;72.2;;61.8;;131.0;21.1;79.4;91.6;128.0;40.5
"01/06/2023 01:00";33.2;22.2;28.2;101.0;64.5;83.1;40.6;26.4;8.8;39.1;71.2;;61.7;;130.0;21.1;79.0;91.3;129.0;41.1
"01/06/2023 02:00";33.8;22.4;28.7;101.0;65.7;82.8;40.4;26.8;8.9;39.7;71.5;;62.0;;131.0;21.2;79.3;91.4;131.0;41.6
"01/06/2023 03:00";34.1;22.7;29.0;100.0;65.8;83.5;41.0;26.4;8.9;39.1;72.7;;61.5;;131.0;21.1;79.5;91.3;129.0;41.2
"01/06/2023 04:00";34.3;22.7;28.6;101.0;64.9;83.2;40.8;26.7;8.9;39.4;74.3;;61.7;;131.0;21.2;79.0;91.3;130.0;41.2
"01/06/2023 05:00";35.1;22.7;28.0;99.8;64.6;84.6;40.8;26.4;9.1;39.3;76.0;;63.3;;131.0;21.3;79.0;91.6;131.0;41.6
"01/06/2023 06:00";36.6;24.7;28.0;101.0;65.5;85.2;40.8;27.1;9.0;39.1;78.3;;62.1;;132.0;21.1;79.0;91.6;131.0;41.2
"01/06/2023 07:00";36.9;;27.9;104.0;65.6;84.5;40.9;27.4;9.0;38.8;77.5;;61.8;;134.0;21.1;79.4;92.3;130.0;41.6
"01/06/2023 08:00";36.7;39.0;28.8;106.0;66.5;84.3;41.0;27.3;9.0;38.7;73.7;;61.8;;134.0;21.2;78.5;95.0;129.0;41.9
"01/06/2023 09:00";36.2;38.7;28.9;102.0;66.2;84.0;40.5;26.9;9.0;39.4;73.0;;62.0;;135.0;21.1;79.2;94.0;128.0;41.9
