;"Abrantes";"Beja";"Braganca";"Castelo Branco";"Coimbra";"Elvas";"Evora";"Faro";"Fratel (estacao submersa)";"Funchal";"Junqueira";"Juromenha (estacao submersa)";"Lisboa";"Meimoa";"Penhas Douradas";"Pocinho (estacao submersa)";"Ponta Delgada";"Portalegre";"Porto";"Sines"
"01/11/2023 00:00";31.3;21.3;24.0;93.8;63.1;79.2;37.9;19.3;7.9;;70.3;37.5;55.0;;130.0;24.3;80.5;91.7;116.0;38.3
"01/11/2023 01:00";30.9;21.5;24.5;93.0;62.6;79.5;36.6;19.0;7.8;;73.1;37.5;55.1;;131.0;24.2;80.5;90.5;116.0;37.1
"01/11/2023 02:00";30.8;21.2;24.6;94.4;63.9;80.2;36.3;19.1;7.8;;69.3;37.6;55.2;;129.0;24.0;80.9;90.5;115.0;36.9
"01/11/2023 03:00";30.7;21.6;27.4;92.9;65.7;79.8;36.1;19.0;7.9;;67.2;37.8;54.8;;129.0;24.1;81.1;89.7;113.0;36.5
"01/11/2023 04:00";31.5;21.5;28.3;93.2;63.7;78.6;35.5;19.1;7.9;;70.3;37.4;55.1;;129.0;24.2;81.3;90.3;112.0;36.0
"01/11/2023 05:00";35.1;21.2;25.4;93.9;61.4;78.9;35.7;19.0;7.9;;67.3;37.4;55.4;;129.0;24.2;81.8;91.2;112.0;36.0
"01/11/2023 06:00";35.5;21.7;22.3;91.9;60.7;79.3;35.5;19.0;8.0;;66.6;37.4;56.2;;127.0;24.1;81.6;94.3;113.0;36.2
"01/11/2023 07:00";31.9;21.4;21.8;91.2;60.8;79.3;35.3;19.5;7.9;;67.1;37.4;57.5;;128.0;24.3;82.3;97.4;113.0;36.4
"01/11/2023 08:00";31.9;21.2;21.6;90.9;60.0;81.3;35.6;19.4;7.9;;67.6;37.3;57.2;;129.0;24.1;82.0;96.2;113.0;36.4
"01/11/2023 09:00";32.1;21.5;21.6;90.8;60.8;82.2;35.4;18.7;7.9;;67.3;37.3;55.4;;127.0;24.2;82.3;90.9;112.0;36.0
"01/11/2023 10:00";32.5;20.8;21.1;90.2;60.1;82.3;35.8;18.3;7.9;;66.6;37.4;55.5;;127.0;24.2;81.7;90.9;113.0;36.3
"01/11/2023 11:00";31.2;20.4;21.2;91.0;61.4;82.6;36.8;18.4;7.9;;66.7;37.4;55.0;74.2;126.0;24.2;82.0;90.4;113.0;36.2
"01/11/2023 12:00";30.5;20.9;21.3;90.6;62.3;83.0;37.7;18.5;7.9;;66.2;37.5;54.2;75.1;127.0;24.0;85.8;91.6;113.0;36.4
"01/11/2023 13:00";31.2;20.3;21.3;91.8;61.5;81.0;37.1;18.4;7.9;;66.6;37.7;54.5;74.7;129.0;24.0;86.0;91.6;113.0;36.5
"01/11/2023 14:00";31.1;21.1;21.7;93.9;60.4;78.8;35.6;18.3;8.0;;66.1;37.5;54.8;74.6;128.0;23.9;86.1;89.1;113.0;35.9
"01/11/2023 15:00";32.6;21.3;21.7;93.3;61.3;79.6;35.9;18.4;8.0;;66.3;37.5;55.1;74.0;127.0;23.9;85.3;88.6;114.0;36.2
"01/11/2023 16:00";33.0;20.8;21.4;91.6;61.2;78.1;35.5;18.0;7.9;;65.8;37.5;56.1;74.2;128.0;23.9;84.2;88.4;113.0;36.6
"01/11/2023 17:00";31.4;20.7;21.5;91.7;60.8;78.6;35.3;18.4;7.9;;66.5;37.5;55.5;73.4;128.0;24.0;85.1;87.9;115.0;36.6
"01/11/2023 18:00";30.5;20.9;21.5;90.9;61.3;77.4;35.3;18.3;7.9;;66.3;37.4;54.8;;126.0;23.9;84.3;89.7;115.0;36.7
"01/11/2023 19:00";30.2;20.9;22.0;91.1;61.4;77.7;35.4;18.7;7.9;;66.5;37.4;55.4;;127.0;24.1;84.3;88.7;117.0;36.6
"01/11/2023 20:00";31.2;20.6;21.7;91.4;61.8;76.9;34.9;18.4;7.9;;;37.5;55.0;;129.0;24.1;83.1;91.3;116.0;36.7
"01/11/2023 21:00";30.6;21.2;21.9;89.8;61.0;78.0;37.0;18.5;7.9;;;37.3;54.9;;129.0;24.1;83.5;93.4;114.0;36.2
"01/11/2023 22:00";31.3;23.4;26.1;91.3;61.8;78.4;37.3;18.2;8.0;;;37.6;56.6;;129.0;23.8;83.6;92.8;112.0;36.1
"01/11/2023 23:00";32.9;21.8;27.8;90.6;61.2;78.0;35.9;18.2;7.9;;;37.5;57.4;;127.0;23.8;82.9;93.2;113.0;36.4
"02/11/2023 00:00";31.5;21.2;26.1;90.6;61.5;76.1;35.6;18.3;8.0;;;37.3;55.1;;127.0;23.5;83.3;92.6;116.0;37.5
"02/11/2023 01:00";30.9;21.0;25.9;90.7;61.9;78.2;35.6;18.8;7.9;;;37.6;54.3;;127.0;23.5;83.4;90.8;118.0;37.2
"02/11/2023 02:00";31.3;21.2;28.6;91.0;62.6;79.0;36.4;18.5;7.9;;;37.3;54.4;;128.0;23.8;82.6;89.4;116.0;37.4
"02/11/2023 03:00";32.0;21.1;31.7;91.0;64.6;79.9;37.4;18.4;8.0;;;37.6;54.2;;130.0;24.1;83.1;88.4;118.0;37.2
"02/11/2023 04:00";32.8;23.0;28.3;91.7;66.2;78.5;38.5;18.4;8.0;;;37.5;55.4;;131.0;24.3;81.9;87.7;114.0;36.3
"02/11/2023 05:00";34.0;22.8;24.8;93.2;69.1;77.5;36.7;18.4;8.0;;;37.7;55.5;;133.0;24.2;81.8;88.2;111.0;36.6
"02/11/2023 06:00";35.7;22.3;22.9;95.7;65.5;77.8;36.1;18.5;8.1;;;37.4;55.4;;137.0;23.8;80.9;91.1;111.0;36.5
"02/11/2023 07:00";38.2;21.5;22.9;95.0;61.5;76.8;35.7;18.9;8.0;;;37.4;57.2;;132.0;23.8;81.4;93.1;112.0;36.8
"02/11/2023 08:00";34.5;20.9;25.6;92.3;60.8;78.8;36.4;18.7;8.0;;;37.3;59.2;;129.0;23.7;81.2;96.7;112.0;36.5
"02/11/2023 09:00";31.7;21.4;26.2;89.6;60.7;81.8;40.3;18.7;7.9;;;37.9;56.3;;128.0;23.9;81.0;93.2;112.0;40.2
"02/11/2023 10:00";31.0;26.5;26.5;88.9;60.7;79.2;38.2;18.6;7.8;;;37.6;54.2;;129.0;23.7;82.8;89.1;113.0;41.2
"02/11/2023 11:00";30.6;24.6;24.7;89.5;61.2;77.3;35.6;18.8;7.8;;70.3;37.5;54.8;73.7;129.0;24.0;83.9;88.3;112.0;38.0
"02/11/2023 12:00";30.8;21.5;22.7;89.5;61.0;77.0;34.8;19.1;7.9;;69.5;37.5;54.0;74.5;131.0;24.3;84.8;87.4;112.0;36.4
"02/11/2023 13:00";31.3;20.9;23.7;90.5;60.3;76.8;34.6;18.8;7.8;;68.1;37.5;54.1;75.1;130.0;23.9;85.1;88.4;113.0;36.4
"02/11/2023 14:00";31.9;20.7;22.7;89.8;60.9;77.9;34.7;18.3;7.8;;66.6;37.4;54.5;75.1;130.0;23.8;86.0;88.8;112.0;36.0
"02/11/2023 15:00";31.2;20.8;23.0;89.2;61.1;78.0;35.0;18.4;7.9;;65.2;37.4;54.4;74.9;130.0;23.7;84.3;88.1;113.0;36.3
"02/11/2023 16:00";30.4;20.9;22.0;90.2;61.2;78.5;35.1;18.7;7.8;;65.7;37.3;55.0;73.5;130.0;23.6;82.5;87.5;113.0;36.1
"02/11/2023 17:00";30.3;20.5;22.1;90.5;60.5;76.9;36.1;18.7;7.8;;65.8;37.5;54.5;73.0;129.0;23.8;83.9;87.1;113.0;36.8
"02/11/2023 18:00";30.1;20.7;22.1;90.8;60.4;76.8;35.6;18.6;7.8;;66.0;37.3;54.2;73.4;128.0;24.0;82.5;87.6;112.0;36.6
"02/11/2023 19:00";30.3;20.2;21.9;90.5;61.0;76.6;35.0;18.4;7.9;39.8;65.2;37.3;54.4;;129.0;24.1;81.5;87.4;112.0;36.0
"02/11/2023 20:00";30.3;20.3;21.7;90.0;61.2;76.4;34.9;18.2;7.9;39.7;65.3;37.3;53.9;;129.0;24.1;80.8;87.6;113.0;36.0
"02/11/2023 21:00";29.9;20.5;22.3;91.1;60.9;76.7;34.3;18.3;7.8;40.2;65.3;37.4;54.2;;130.0;24.0;81.1;88.4;113.0;36.2
"02/11/2023 22:00";30.0;20.4;21.8;90.0;60.7;77.2;34.9;18.3;7.9;40.2;64.7;37.5;53.9;;130.0;24.0;81.3;87.8;113.0;36.4
"02/11/2023 23:00";30.1;20.3;21.9;91.3;61.0;76.8;34.8;18.6;7.8;39.9;64.9;37.5;53.8;;130.0;23.9;81.5;87.6;113.0;36.4
