;"Abrantes";"Beja";"Braganca";"Castelo Branco";"Coimbra";"Elvas";"Evora";"Faro";"Fratel (estacao submersa)";"Funchal";"Junqueira";"Juromenha (estacao submersa)";"Lisboa";"Meimoa";"Penhas Douradas";"Pocinho (estacao submersa)";"Ponta Delgada";"Portalegre";"Porto";"Sines"
"01/09/2023 00:00";33.5;23.6;34.4;108.0;68.0;87.0;41.8;28.5;7.6;41.0;83.2;39.0;62.3;;143.0;23.1;86.9;99.1;132.0;41.3
"01/09/2023 01:00";33.3;23.0;34.2;107.0;68.1;87.8;41.0;28.7;7.8;41.1;83.0;38.8;62.6;;142.0;22.8;87.2;99.0;133.0;40.9
"01/09/2023 02:00";33.3;23.4;34.4;107.0;68.3;87.0;41.4;29.3;7.7;40.7;84.4;38.7;62.6;;142.0;22.7;86.3;99.9;135.0;41.8
"01/09/2023 03:00";33.5;23.1;36.8;109.0;68.4;87.3;41.1;29.5;7.7;40.8;88.2;39.0;62.3;;141.0;22.9;86.2;99.6;136.0;41.5
"01/09/2023 04:00";32.9;22.5;37.2;109.0;68.6;87.2;41.5;30.2;7.8;40.7;90.3;38.7;62.7;;142.0;23.1;86.3;99.9;138.0;40.9
"01/09/2023 05:00";32.7;23.2;37.4;112.0;68.2;86.6;41.3;30.0;7.8;;90.8;38.8;62.6;;141.0;23.0;86.1;99.2;140.0;41.3
"01/09/2023 06:00";32.8;23.4;37.9;112.0;69.2;87.2;41.1;30.5;7.8;;93.5;38.8;62.4;;141.0;23.1;85.9;100.0;139.0;41.1
"01/09/2023 07:00";33.2;23.0;39.5;114.0;69.6;86.9;41.6;30.2;7.7;;93.5;38.7;62.3;;142.0;22.9;86.6;103.0;138.0;41.0
"01/09/2023 08:00";33.1;23.2;39.0;112.0;68.7;86.8;41.0;30.0;7.7;;88.0;38.8;62.5;;143.0;23.0;85.6;100.0;138.0;41.0
"01/09/2023 09:00";33.4;23.3;38.2;111.0;68.9;87.7;41.2;29.1;7.7;;83.4;38.8;62.6;;145.0;22.9;84.5;100.0;137.0;41.4
"01/09/2023 10:00";33.4;23.2;34.3;110.0;68.6;86.3;41.4;27.4;7.7;41.3;82.9;38.8;62.9;89.3;147.0;22.8;84.5;99.5;134.0;41.4
"01/09/2023 11:00";33.6;22.7;32.7;109.0;68.6;86.4;41.3;26.8;7.7;40.6;83.9;38.9;62.4;91.5;149.0;22.9;88.0;99.4;132.0;41.3
"01/09/2023 12:00";33.2;22.3;31.9;108.0;68.5;85.5;41.5;26.5;7.6;40.6;79.6;38.8;62.5;92.2;146.0;22.8;91.1;99.0;132.0;41.5
"01/09/2023 13:00";33.6;22.6;32.9;107.0;68.6;86.7;41.8;27.2;7.7;41.0;78.4;38.6;62.7;92.7;145.0;22.6;86.6;99.1;132.0;41.1
"01/09/2023 14:00";32.8;22.5;33.4;107.0;68.7;85.6;41.3;26.9;7.8;41.1;78.8;38.9;62.8;92.7;145.0;22.7;89.1;98.7;131.0;40.8
"01/09/2023 15:00";33.0;22.5;35.2;107.0;67.6;86.4;41.1;26.7;7.6;41.3;77.6;39.0;62.8;88.0;144.0;22.8;90.1;98.4;132.0;40.9
"01/09/2023 16:00";33.0;22.0;34.4;106.0;67.9;85.6;41.1;27.1;7.7;40.9;76.8;38.7;63.0;86.9;143.0;22.9;89.4;99.3;132.0;40.7
"01/09/2023 17:00";32.9;21.8;34.7;106.0;68.6;85.8;41.0;26.9;7.7;41.1;76.1;38.8;63.1;86.6;142.0;22.8;86.5;98.1;132.0;41.3
"01/09/2023 18:00";32.8;21.8;34.2;106.0;67.9;86.0;41.0;26.9;7.7;40.9;75.4;38.7;62.4;;143.0;23.0;93.9;99.3;131.0;40.8
